Date,Open,High,Low,Close,Volume,OpenInt,Stock
2018/2/28,44.814999,45.154999,44.512501,44.529999,151128400,0,AAPL
2018/3/1,44.634998,44.945,43.165001,43.75,195208000,0,AAPL
2018/3/2,43.200001,44.075001,43.112499,44.052502,153816000,0,AAPL
2018/3/5,43.802502,44.435001,43.630001,44.205002,113605600,0,AAPL
2018/3/6,44.477501,44.5625,44.032501,44.1675,95154000,0,AAPL
2018/3/7,43.735001,43.962502,43.567501,43.7575,126814000,0,AAPL
2018/3/8,43.869999,44.279999,43.767502,44.235001,95096400,0,AAPL
2018/3/9,44.490002,45,44.3475,44.994999,128740800,0,AAPL
2018/3/12,45.072498,45.5975,45.052502,45.43,128828400,0,AAPL
2018/3/13,45.647499,45.875,44.810001,44.9925,126774000,0,AAPL
2018/3/14,45.080002,45.130001,44.452499,44.610001,117473600,0,AAPL
2018/3/15,44.625,45.060001,44.517502,44.662498,90975200,0,AAPL
2018/3/16,44.662498,44.779999,44.404999,44.505001,157618800,0,AAPL
2018/3/19,44.330002,44.3675,43.415001,43.825001,133787200,0,AAPL
2018/3/20,43.810001,44.200001,43.735001,43.810001,78597600,0,AAPL
2018/3/21,43.759998,43.772499,42.814999,42.817501,148219600,0,AAPL
2018/3/22,42.5,43.169998,42.150002,42.212502,165963200,0,AAPL
2018/3/23,42.0975,42.48,41.235001,41.235001,164115200,0,AAPL
2018/3/26,42.017502,43.275002,41.610001,43.192501,150164800,0,AAPL
2018/3/27,43.419998,43.787498,41.73,42.084999,163690400,0,AAPL
2018/3/28,41.8125,42.505001,41.297501,41.619999,166674000,0,AAPL
2018/3/29,41.952499,42.9375,41.724998,41.945,153594000,0,AAPL
2018/4/2,41.66,42.235001,41.1175,41.669998,150347200,0,AAPL
2018/4/3,41.91,42.1875,41.220001,42.0975,121112000,0,AAPL
2018/4/4,41.220001,43.002499,41.192501,42.9025,138422000,0,AAPL
2018/4/5,43.145,43.557499,43.02,43.200001,107732800,0,AAPL
2018/4/6,42.7425,43.119999,42.049999,42.095001,140021200,0,AAPL
2018/4/9,42.470001,43.272499,42.462502,42.512501,116070800,0,AAPL
2018/4/10,43.25,43.5,42.8825,43.3125,113634400,0,AAPL
2018/4/11,43.057499,43.48,42.924999,43.110001,89726400,0,AAPL
2018/4/12,43.352501,43.75,43.259998,43.535,91557200,0,AAPL
2018/4/13,43.695,43.959999,43.462502,43.682499,100497200,0,AAPL
2018/4/16,43.7575,44.047501,43.7075,43.955002,86313600,0,AAPL
2018/4/17,44.122501,44.735001,44.102501,44.560001,106421600,0,AAPL
2018/4/18,44.452499,44.705002,44.220001,44.459999,83018000,0,AAPL
2018/4/19,43.439999,43.8475,43.165001,43.200001,139235200,0,AAPL
2018/4/20,42.650002,42.805,41.357498,41.43,261964400,0,AAPL
2018/4/23,41.7075,41.73,41.022499,41.310001,146062000,0,AAPL
2018/4/24,41.4175,41.5825,40.305,40.735001,134768000,0,AAPL
2018/4/25,40.654999,41.355,40.602501,40.912498,113528400,0,AAPL
2018/4/26,41.029999,41.432499,40.842499,41.055,111852000,0,AAPL
2018/4/27,41,41.0825,40.157501,40.580002,142623200,0,AAPL
2018/4/30,40.532501,41.814999,40.459999,41.314999,169709600,0,AAPL
2018/5/1,41.602501,42.299999,41.317501,42.275002,214277600,0,AAPL
2018/5/2,43.807499,44.4375,43.450001,44.142502,266157600,0,AAPL
2018/5/3,43.970001,44.375,43.610001,44.2225,136272800,0,AAPL
2018/5/4,44.5625,46.0625,44.5425,45.9575,224805200,0,AAPL
2018/5/7,46.294998,46.9175,46.1875,46.290001,169805600,0,AAPL
2018/5/8,46.247501,46.555,45.9175,46.512501,113611200,0,AAPL
2018/5/9,46.637501,46.849998,46.305,46.84,92844800,0,AAPL
2018/5/10,46.935001,47.592499,46.912498,47.509998,111957200,0,AAPL
2018/5/11,47.372501,47.514999,46.862499,47.147499,104848800,0,AAPL
2018/5/14,47.252499,47.3825,46.965,47.037498,83115200,0,AAPL
2018/5/15,46.695,46.767502,46.275002,46.610001,94780800,0,AAPL
2018/5/16,46.517502,47.115002,46.5,47.044998,76732400,0,AAPL
2018/5/17,47,47.227501,46.59,46.747501,69176000,0,AAPL
2018/5/18,46.797501,46.952499,46.532501,46.577499,73190800,0,AAPL
2018/5/21,47,47.317501,46.727501,46.907501,73603200,0,AAPL
2018/5/22,47.095001,47.220001,46.695,46.790001,60962800,0,AAPL
2018/5/23,46.587502,47.125,46.439999,47.09,80233600,0,AAPL
2018/5/24,47.192501,47.209999,46.552502,47.037498,92936000,0,AAPL
2018/5/25,47.057499,47.412498,46.912498,47.145,69844000,0,AAPL
2018/5/29,46.900002,47.1875,46.717499,46.974998,90056400,0,AAPL
2018/5/30,46.93,47,46.695,46.875,74762000,0,AAPL
2018/5/31,46.805,47.057499,46.535,46.717499,109931200,0,AAPL
2018/6/1,46.997501,47.564999,46.9375,47.560001,93770000,0,AAPL
2018/6/4,47.91,48.355,47.837502,47.9575,105064800,0,AAPL
2018/6/5,48.267502,48.485001,48.09,48.327499,86264000,0,AAPL
2018/6/6,48.407501,48.52,47.98,48.494999,83734400,0,AAPL
2018/6/7,48.535,48.549999,48.084999,48.365002,85388800,0,AAPL
2018/6/8,47.7925,48,47.442501,47.924999,106627200,0,AAPL
2018/6/11,47.837502,47.9925,47.552502,47.807499,73234000,0,AAPL
2018/6/12,47.8475,48.1525,47.787498,48.07,67644400,0,AAPL
2018/6/13,48.105,48.220001,47.610001,47.674999,86553600,0,AAPL
2018/6/14,47.887501,47.892502,47.555,47.700001,86440400,0,AAPL
2018/6/15,47.5075,47.540001,47.064999,47.209999,246876800,0,AAPL
2018/6/18,46.970001,47.305,46.799999,47.185001,73939600,0,AAPL
2018/6/19,46.285,46.5825,45.862499,46.422501,134314000,0,AAPL
2018/6/20,46.587502,46.799999,46.432499,46.625,82514800,0,AAPL
2018/6/21,46.8125,47.087502,46.235001,46.365002,102847600,0,AAPL
2018/6/22,46.529999,46.537498,46.174999,46.23,108801600,0,AAPL
2018/6/25,45.849998,46.23,45.182499,45.5425,126652400,0,AAPL
2018/6/26,45.747501,46.6325,45.634998,46.107498,98276800,0,AAPL
2018/6/27,46.307499,46.82,46.0075,46.040001,101141200,0,AAPL
2018/6/28,46.025002,46.552502,45.950001,46.375,69460800,0,AAPL
2018/6/29,46.572498,46.797501,45.727501,46.2775,90950800,0,AAPL
2018/7/2,45.955002,46.825001,45.855,46.794998,70925200,0,AAPL
2018/7/3,46.947498,46.987499,45.884998,45.98,55819200,0,AAPL
2018/7/5,46.314999,46.602501,46.07,46.349998,66416800,0,AAPL
2018/7/6,46.355,47.107498,46.299999,46.9925,69940800,0,AAPL
2018/7/9,47.375,47.669998,47.325001,47.645,79026400,0,AAPL
2018/7/10,47.677502,47.82,47.544998,47.587502,63756400,0,AAPL
2018/7/11,47.125,47.445,46.9025,46.970001,75326000,0,AAPL
2018/7/12,47.3825,47.852501,47.327499,47.7575,72164400,0,AAPL
2018/7/13,47.77,47.959999,47.724998,47.8325,50055600,0,AAPL
2018/7/16,47.880001,48.162498,47.605,47.727501,60172400,0,AAPL
2018/7/17,47.4375,47.967499,47.299999,47.862499,62138000,0,AAPL
2018/7/18,47.945,47.950001,47.482498,47.599998,65573600,0,AAPL
2018/7/19,47.422501,48.137501,47.422501,47.970001,81147200,0,AAPL
2018/7/20,47.945,48.107498,47.5425,47.860001,82704800,0,AAPL
2018/7/23,47.669998,47.990002,47.389999,47.9025,63957600,0,AAPL
2018/7/24,48.112499,48.415001,48.012501,48.25,74791600,0,AAPL
2018/7/25,48.264999,48.712502,48.107498,48.705002,66839600,0,AAPL
